Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
200000,420,Virar East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,275,Thane,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
200000,400,Kharegaon,1,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
200000,540,Vasind,1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
200000,220,Mira Road East,1,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
200000,780,Boisar,2,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
200000,425,Malad East,1,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No
200000,610,Vangani,1,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
200000,510,Naigaon East,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
200000,1252,Naigaon East,1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
200000,390,Bhoiwada Kalyan,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,640,Ambivli,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,630,Neral,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,731,Boisar,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,450,Kalyan West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,365,Nalasopara East,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
200000,575,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
200000,590,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
200000,580,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
200000,525,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
200000,820,Boisar,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No
200500,575,Badlapur,1,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No
200500,595,mumbai,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
201000,600,Badlapur,1,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
201100,597,mumbai,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
201499.9,598,mumbai,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
201800,375,Dombivali,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
202100,600,mumbai,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
203500,574,Asangaon,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
205000,1000,ulhasnagar 4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No
205000,500,Naigaon East,1,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
205000,513,Boisar,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
205700,605,Boisar,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
206300,655,Badlapur East,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
206400,600,Karjat,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
206400,688,Karjat,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
206400,688,Karjat,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
207500,661,Neral,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
207700,620,Badlapur West,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
209900,387,Palghar,1,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes
209900,882,Khalapur,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
210000,529,Vangani,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
210000,770,Palghar,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
210000,495,Thane,1,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
210000,395,Karanjade,1,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
210000,370,Virar East,1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
210000,245,Mira Road East,1,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
210000,450,Sector-26 Taloja,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
210000,625,Mumbai Central,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
210000,400,Dombivali East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
210000,245,Mira Road East,1,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
210000,634,Ambernath West,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
210000,585,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
210000,700,Karjat,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
210000,700,Karjat,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
210000,425,Kurla West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
210000,410,Kurla West,1,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
210000,589,Palghar,1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
210000,671,Neral,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
210000,780,Boisar,2,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
210000,580,Nala Sopara,1,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No
210000,325,Vasai West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
210000,585,Nala Sopara,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
210000,590,Koproli,1,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
210000,582,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
210500,495,KASHELI,1,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
211000,495,Kasheli,1,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
211000,545,Badlapur West,1,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
211600,630,mumbai,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
211600,672,Badlapur East,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
213000,560,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
